"ID Trang","Tên Trang","Bình luận về dữ liệu",Ngày,"Thu nhập ước tính (USD)","Sao (USD)","Lượt hiển thị","Lượt tương tác","Số người theo dõi thực","Cảm xúc","Lượt chia sẻ","Bình luận và phản hồi","Người xem","Lượt xem"
882356418302131,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi",,06/01/2026,0,0,56986,1326,459,1122,168,36,42338,60596
882356418302131,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi",,06/02/2026,0,0,56578,1366,522,1154,174,38,41764,60532
882356418302131,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi",,06/03/2026,0,0,49636,982,348,821,130,31,36910,53301
882356418302131,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi",,06/04/2026,0,0,41261,794,249,642,122,30,31984,45393
882356418302131,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi",,06/05/2026,0,0,59679,1122,639,975,125,22,49207,63986
882356418302131,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi",,06/06/2026,0,0,16967,373,154,305,43,25,13770,18776
