"ID Trang","Tên Trang","Bình luận về dữ liệu",Ngày,"Thu nhập ước tính (USD)","Sao (USD)","Lượt hiển thị","Lượt tương tác","Số người theo dõi thực","Cảm xúc","Lượt chia sẻ","Bình luận và phản hồi","Người xem","Lượt xem"
882356418302131,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi",,05/23/2026,0,0,295212,4847,1582,3949,776,122,218582,293245
882356418302131,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi",,05/24/2026,0,0,113913,2967,927,2509,411,47,87186,124976
882356418302131,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi",,05/25/2026,0,0,107985,2859,839,2349,410,100,83068,118401
882356418302131,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi",,05/26/2026,0,0,102253,2771,870,2256,415,100,80231,110858
882356418302131,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi",,05/27/2026,0,0,96497,2176,713,1830,278,68,75059,104519
882356418302131,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi",,05/28/2026,0,0,73691,1701,630,1420,235,46,57709,80289
882356418302131,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi",,05/29/2026,0,0,48342,1083,324,935,125,23,36867,53052
882356418302131,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi",,05/30/2026,0,0,21019,503,209,428,61,14,17787,24261
