"ID Trang","Tên Trang","Bình luận về dữ liệu",Ngày,"Thu nhập ước tính (USD)","Sao (USD)","Lượt hiển thị","Lượt tương tác","Số người theo dõi thực","Cảm xúc","Lượt chia sẻ","Bình luận và phản hồi","Người xem","Lượt xem"
882356418302131,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi",,05/16/2026,0,0,64041,1569,636,1337,198,34,50613,70157
882356418302131,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi",,05/17/2026,0,0,43226,799,84,634,136,29,32335,45558
882356418302131,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi",,05/18/2026,0,0,84661,2069,924,1753,232,84,63957,87171
882356418302131,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi",,05/19/2026,0,0,85257,1969,1297,1738,173,58,61315,89576
882356418302131,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi",,05/20/2026,0,0,99345,2980,1487,2625,292,63,71238,105552
882356418302131,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi",,05/21/2026,0,0,835588,17652,3790,15023,2263,366,720897,881144
882356418302131,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi",,05/22/2026,0,0,518290,9764,2302,8024,1497,243,371426,522962
882356418302131,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi",,05/23/2026,0,0,122294,1845,520,1457,330,58,94440,119191
